name,datetime,tempmax,tempmin,temp,humidity,precip,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,uvindex,severerisk,sunrise,sunset,conditions,description,icon
choondacherry,01-01-23,34,21,27.2,74.8,0,,28.4,16.6,357.2,1013.9,29.4,9,10,2023-01-01T06:39:31,2023-01-01T18:13:29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
choondacherry,02-01-23,33,22,26.6,72,0,,20.2,11.2,76,1013.5,29.2,9,10,2023-01-02T06:39:56,2023-01-02T18:14:01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
choondacherry,03-01-23,32,21,26.4,75.7,0,,21.2,11.2,97.4,1013.7,26.6,9,10,2023-01-03T06:40:19,2023-01-03T18:14:33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
choondacherry,04-01-23,33.2,21,26.5,72.8,0,,18,9.4,103.3,1012.4,32.4,9,10,2023-01-04T06:40:42,2023-01-04T18:15:06,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
choondacherry,05-01-23,34,21,26.7,73.7,0.1,rain,16.6,22.4,89,1012.6,15,9,10,2023-01-05T06:41:04,2023-01-05T18:15:38,Rain,Clear conditions throughout the day with early morning rain.,rain
choondacherry,06-01-23,34,21,27.2,69.4,0,,16.2,11.2,104.3,1013,31.9,8,10,2023-01-06T06:41:25,2023-01-06T18:16:10,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
choondacherry,07-01-23,34,22,27.7,66.4,5.6,rain,25.9,8.5,27.8,1012.7,44.6,7,10,2023-01-07T06:41:46,2023-01-07T18:16:42,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
choondacherry,08-01-23,33,22,27.2,72.7,0,,20.2,13,65.3,1012.1,24.1,8,10,2023-01-08T06:42:06,2023-01-08T18:17:14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
choondacherry,09-01-23,33.1,23,27.3,74.9,0,rain,26.6,11.2,134.7,1012.9,29.5,9,10,2023-01-09T06:42:25,2023-01-09T18:17:45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
choondacherry,10-01-23,35,22,26.9,73.3,0,rain,27,14.8,100.3,1012.7,45.5,8,10,2023-01-10T06:42:43,2023-01-10T18:18:17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
choondacherry,11-01-23,32,20,26.2,70.9,0,,28.8,13,212.7,1011.8,42.6,8,10,2023-01-11T06:43:00,2023-01-11T18:18:48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
choondacherry,12-01-23,32.7,20,25.5,75.2,0,,31.3,14.8,156.9,1011,27.3,9,10,2023-01-12T06:43:16,2023-01-12T18:19:19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
choondacherry,13-01-23,30.6,21,25.2,76.3,0,,30.6,11.2,359.9,1011.4,44.3,9,10,2023-01-13T06:43:32,2023-01-13T18:19:50,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
choondacherry,14-01-23,33,20,25.7,75.1,0,,29.2,9.4,246,1011.2,48.2,9,10,2023-01-14T06:43:46,2023-01-14T18:20:20,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
choondacherry,15-01-23,33,20,26.2,76.8,0,,31.7,13,178.7,1010.5,34.5,9,10,2023-01-15T06:44:00,2023-01-15T18:20:50,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
choondacherry,16-01-23,32,22,26.7,78,0.3,rain,29.9,14.8,253.2,1010.7,61.5,9,10,2023-01-16T06:44:12,2023-01-16T18:21:20,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
choondacherry,17-01-23,32,22,26.7,79.1,0.2,rain,33.8,14.8,314.1,1011.3,52.4,8,10,2023-01-17T06:44:24,2023-01-17T18:21:49,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
choondacherry,18-01-23,33,21,26.8,72.8,0.1,rain,20.5,11.2,94.3,1011.9,45.3,9,10,2023-01-18T06:44:35,2023-01-18T18:22:18,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
choondacherry,19-01-23,34,21,26.6,67,0,,19.8,8,77,1012.2,23.6,9,10,2023-01-19T06:44:44,2023-01-19T18:22:46,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
choondacherry,20-01-23,32,20,25.8,65.3,0,,22,13,97.9,1011.9,24,9,10,2023-01-20T06:44:53,2023-01-20T18:23:14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
choondacherry,21-01-23,33,20,26.3,63.7,0,,28.1,11.2,83.6,1011.5,40.7,9,10,2023-01-21T06:45:01,2023-01-21T18:23:42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
choondacherry,22-01-23,32,21,26.3,69.3,0.3,rain,25.6,8,80.3,1010.4,67.1,5,10,2023-01-22T06:45:07,2023-01-22T18:24:09,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
choondacherry,23-01-23,33,22,27.2,70.4,0.3,rain,25.9,14.8,307.2,1009.8,61.9,8,10,2023-01-23T06:45:13,2023-01-23T18:24:35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
choondacherry,24-01-23,32,24,26.6,81.4,16,rain,25.6,12.5,95.5,1010.5,71.3,5,10,2023-01-24T06:45:18,2023-01-24T18:25:01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
choondacherry,25-01-23,32,23,27,80.2,2.6,rain,23,13,286.3,1010,52.2,7,30,2023-01-25T06:45:21,2023-01-25T18:25:26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
choondacherry,26-01-23,33,22.6,27.5,76.8,0.2,rain,22,14.8,197.2,1010.1,38.3,8,10,2023-01-26T06:45:24,2023-01-26T18:25:51,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
choondacherry,27-01-23,33,23.4,27.7,76,0.2,rain,25.9,13,205.6,1009.9,35.8,8,10,2023-01-27T06:45:26,2023-01-27T18:26:15,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain
choondacherry,28-01-23,35,23,27.6,74.2,0.1,rain,24.8,11.2,148.7,1009.5,32.4,9,10,2023-01-28T06:45:26,2023-01-28T18:26:39,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
choondacherry,29-01-23,34,22,27,75.5,0,,26.6,14.8,183.4,1008.7,42.9,9,10,2023-01-29T06:45:26,2023-01-29T18:27:02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
choondacherry,30-01-23,34,22,28,75.9,0.6,rain,24.8,11.2,306.9,1009.7,36.8,8,10,2023-01-30T06:45:24,2023-01-30T18:27:25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
choondacherry,31-01-23,34,23.5,28.4,76.9,9.2,rain,27.4,16.6,310,1009.4,37.8,7,10,2023-01-31T06:45:21,2023-01-31T18:27:46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
choondacherry,01-02-23,34,23,28.3,73.5,0,,20.9,18.4,49.8,1008.7,38.2,8,10,2023-02-01T06:45:18,2023-02-01T18:28:07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
choondacherry,02-02-23,32,23,27.9,71.7,4.2,rain,21.2,24.1,69.4,1008.9,71.4,5,10,2023-02-02T06:45:13,2023-02-02T18:28:28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
choondacherry,03-02-23,33,24.7,27.9,74.2,4.7,rain,28.1,11.2,160.3,1009.6,82.5,7,10,2023-02-03T06:45:08,2023-02-03T18:28:48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
choondacherry,04-02-23,35,23.1,28.5,79.4,3,rain,29.5,14.8,113,1009.4,56,6,30,2023-02-04T06:45:01,2023-02-04T18:29:07,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
